,source,target
647,232,215
1264,233,36
1342,234,0
1343,234,1
1345,234,142
1344,234,7
1927,235,0
1928,235,1
1997,236,0
1999,236,7
1998,236,1
2428,237,77
3685,238,219
3777,239,219
1,240,181
0,240,86
150,241,61
507,242,90
506,242,81
1002,243,13
1305,244,0
1306,244,1
1307,244,2
1308,244,69
2143,245,220
2142,245,77
2650,246,77
2649,246,61
3255,247,0
3256,247,1
3269,248,81
3270,248,90
3271,248,95
3498,249,230
3833,250,240
315,251,1
314,251,0
711,252,108
1275,253,248
1274,253,90
1273,253,81
1558,254,29
1563,254,156
1564,254,200
1560,254,55
1562,254,124
1561,254,113
1557,254,19
1559,254,43
1792,255,195
1793,255,202
2147,256,0
2148,256,1
2671,257,110
2669,257,61
2668,257,59
2670,257,83
2843,258,230
2844,258,249
3555,259,77
3619,260,124
3616,260,29
3621,260,200
3620,260,156
3618,260,113
3615,260,19
3617,260,55
3714,261,36
3716,261,133
3715,261,108
13,262,230
536,263,41
535,263,36
533,263,3
532,263,1
531,263,0
537,263,175
534,263,30
538,263,194
887,264,1
886,264,0
888,264,7
1297,265,77
1298,265,89
1873,266,153
1969,267,210
1968,267,150
2605,268,196
3294,269,219
3302,270,61
3301,270,7
155,271,270
255,272,133
257,272,261
253,272,108
254,272,129
256,272,153
823,273,77
930,274,258
1339,275,26
1507,276,159
1506,276,101
1504,276,13
1505,276,34
1508,276,177
1586,277,1
1585,277,0
1784,278,240
2024,279,47
2285,280,1
2286,280,8
2284,280,0
2782,281,1
2781,281,0
2963,282,51
2962,282,7
2964,282,206
3333,283,101
3641,284,78
3642,284,132
3643,284,163
262,285,0
263,285,1
264,285,49
265,285,98
511,286,235
509,286,1
510,286,4
508,286,0
995,287,176
996,287,212
997,287,225
1315,288,225
1388,289,234
2149,290,207
2150,290,219
2596,291,276
2595,291,13
2893,292,170
3404,293,86
3578,294,1
3577,294,0
213,295,150
215,296,174
216,296,262
332,297,229
330,297,148
331,297,193
1933,298,271
1932,298,270
1950,299,61
2320,300,276
2318,300,13
2319,300,130
2878,301,0
2884,301,244
2880,301,2
2883,301,116
2879,301,1
2881,301,69
2882,301,112
3291,302,1
3290,302,0
3782,303,145
81,304,1
80,304,0
212,305,1
211,305,0
259,306,212
429,307,218
542,308,219
725,309,297
820,310,217
1100,311,81
1099,311,77
1101,311,227
1478,312,1
1477,312,0
1541,313,77
1542,313,86
1885,314,77
2540,315,61
2541,315,97
2775,316,96
2774,316,83
2773,316,61
2833,317,93
2831,317,77
2832,317,81
3206,318,89
3205,318,77
3207,318,265
3623,319,219
3624,319,269
3820,320,1
3819,320,0
291,321,61
413,322,1
412,322,0
652,323,77
1086,324,69
1088,324,301
1087,324,244
1082,324,0
1083,324,1
1084,324,2
1085,324,7
1244,325,77
1427,326,51
1426,326,7
1429,326,282
1428,326,206
1503,327,107
1912,328,77
1983,329,36
1985,329,107
1982,329,14
1980,329,1
1979,329,0
1981,329,9
1984,329,62
1986,329,263
1987,329,305
3317,330,0
3318,330,1
3319,330,32
76,331,118
75,331,77
78,331,167
77,331,128
530,332,284
529,332,163
528,332,132
527,332,78
973,333,178
1040,334,92
1120,335,176
1572,336,213
1686,337,132
1685,337,78
1689,337,336
1688,337,284
1687,337,163
1827,338,77
2160,339,276
2159,339,13
2168,340,7
2167,340,1
2166,340,0
2188,341,308
2203,342,0
2204,342,1
2216,343,270
2512,344,89
2685,345,1
2684,345,0
2751,346,174
2914,347,196
3065,348,296
48,349,108
100,350,7
98,350,0
99,350,1
201,351,108
1447,352,1
1446,352,0
1913,353,270
2044,354,113
2042,354,29
2046,354,156
2047,354,200
2045,354,124
2041,354,19
2043,354,55
2359,355,26
2509,356,112
2510,356,150
2834,357,290
2854,358,200
2853,358,156
2852,358,124
2851,358,113
2850,358,55
2848,358,19
2849,358,29
2947,359,140
2946,359,1
2945,359,0
3622,360,261
3845,361,101
308,362,267
454,363,1
453,363,0
484,364,225
483,364,212
485,364,306
512,365,295
1270,366,104
1271,366,110
1272,366,204
1268,366,74
1267,366,68
1266,366,65
1265,366,61
1269,366,83
1828,367,108
1865,368,278
1864,368,240
1978,369,319
1977,369,269
2175,370,368
2173,370,240
2174,370,278
2511,371,61
2608,372,0
2609,372,1
2654,373,372
2653,373,142
2652,373,1
2651,373,0
2905,374,19
2906,374,29
2907,374,36
2908,374,55
2910,374,124
2911,374,156
2912,374,200
2913,374,370
2909,374,113
3839,375,77
794,376,108
972,377,77
1180,378,77
1219,379,276
1218,379,158
1217,379,13
1929,380,337
2193,381,370
2681,382,276
2680,382,13
3148,383,118
3151,383,331
3147,383,77
3150,383,167
3149,383,128
3503,384,41
3505,384,194
