,from,to
3001,1356,590
3118,1357,532
3260,1358,258
3259,1358,118
1579,1359,462
3459,1360,231
3460,1360,523
3458,1360,167
3457,1360,36
3462,1361,398
3489,1362,475
3587,1363,642
3590,1364,174
3600,1365,499
3599,1365,468
75,1366,1001
253,1367,197
255,1368,194
324,1369,399
330,1370,314
476,1371,532
623,1372,608
670,1373,70
672,1373,360
671,1373,226
780,1374,282
801,1375,79
957,1376,228
954,1376,68
956,1376,124
955,1376,99
958,1376,304
991,1377,291
992,1377,323
1000,1378,267
1001,1379,707
1072,1380,388
1161,1381,345
1162,1381,386
1164,1382,118
1259,1383,323
1258,1383,300
1261,1383,629
1260,1383,544
1257,1383,174
1262,1383,693
1465,1384,537
1584,1385,68
1587,1385,315
1585,1385,99
1589,1385,541
1586,1385,303
1588,1385,502
1638,1386,927
1778,1387,222
1933,1388,406
1954,1389,801
1959,1390,569
1955,1390,460
1960,1390,617
1961,1390,618
1958,1390,568
1962,1390,622
1956,1390,466
1957,1390,513
1965,1391,582
1963,1391,98
1964,1391,438
1968,1392,381
2074,1393,528
2073,1393,466
2137,1394,315
2424,1395,781
2628,1396,128
2627,1396,40
2625,1396,6
2626,1396,7
3009,1397,395
3010,1398,98
3075,1399,292
3076,1400,299
3079,1401,246
3077,1401,160
3078,1401,232
3080,1402,614
3081,1402,737
3383,1403,213
3604,1404,793
122,1405,512
118,1405,261
119,1405,300
120,1405,418
121,1405,493
361,1406,266
369,1407,712
370,1408,174
373,1409,464
372,1409,214
371,1409,174
483,1410,438
618,1411,564
1313,1412,365
1315,1413,310
1318,1414,702
1317,1414,142
1334,1415,555
1464,1416,102
1575,1417,1089
1619,1418,406
2088,1419,711
2087,1419,78
2258,1420,261
2257,1420,170
2265,1421,499
2266,1421,673
2269,1422,322
2270,1422,789
2271,1423,394
2369,1424,876
2428,1425,291
2430,1426,817
2528,1427,152
2572,1428,828
2569,1428,329
2571,1428,721
2570,1428,595
2582,1429,564
2910,1430,510
2911,1430,592
2909,1430,471
3222,1431,206
3380,1432,789
3565,1433,601
3611,1434,595
3610,1434,291
3612,1435,909
3614,1436,596
3617,1437,595
3619,1437,702
3616,1437,214
3618,1437,693
3615,1437,98
3622,1438,135
3624,1438,649
3623,1438,249
105,1439,549
160,1440,644
220,1441,500
219,1441,330
221,1442,886
921,1443,49
922,1443,659
1061,1444,159
1095,1445,130
1105,1446,611
1107,1447,424
1109,1448,1028
1108,1448,855
1111,1449,975
1136,1450,16
1200,1451,525
1322,1452,785
1321,1452,534
1326,1453,200
1418,1454,28
1419,1455,497
1422,1456,501
1421,1456,386
1420,1456,345
1424,1457,509
1423,1457,501
1550,1458,203
1551,1459,340
1847,1460,156
1983,1461,182
2108,1462,203
2203,1463,466
2201,1463,214
2202,1463,222
2200,1463,61
2239,1464,114
2240,1465,673
2241,1466,429
2243,1466,493
2242,1466,479
2244,1466,808
2248,1467,569
2247,1467,460
2249,1467,673
2374,1468,513
2375,1469,659
2397,1470,590
2395,1470,151
2398,1470,1004
2396,1470,269
2608,1471,659
2605,1471,214
2607,1471,365
2606,1471,222
2604,1471,175
2722,1472,189
2760,1473,225
2759,1473,126
2852,1474,839
3007,1475,562
3006,1475,257
3050,1476,206
3253,1477,554
3252,1477,464
3255,1477,636
3256,1477,662
3254,1477,595
3342,1478,98
3387,1479,947
3392,1480,780
3391,1480,479
96,1481,226
97,1481,603
158,1482,432
213,1483,479
411,1484,128
412,1484,241
410,1484,43
409,1484,3
498,1485,945
499,1486,214
500,1486,300
501,1486,945
693,1487,215
694,1488,75
699,1489,337
698,1489,193
702,1490,184
711,1491,294
712,1491,323
868,1492,717
1113,1493,560
1366,1494,408
1478,1495,151
1479,1495,161
1477,1495,51
1480,1495,228
1626,1496,392
1629,1497,63
1735,1498,448
2058,1499,947
2072,1500,285
