,from,to
1561,356,117
1559,356,102
1558,356,54
1562,357,250
1563,358,145
1564,359,102
1855,360,143
2324,361,40
2567,362,272
2568,363,92
2643,364,133
3277,365,87
3276,365,61
3278,365,89
3279,365,174
3480,366,75
3560,367,258
196,368,12
400,369,77
1392,370,80
1765,371,67
1766,372,93
2165,373,200
2419,374,170
2849,375,137
3345,376,50
3353,377,75
3400,378,68
3416,379,48
3731,380,212
3762,381,98
184,382,40
444,383,44
452,384,24
904,385,71
1016,386,171
1106,387,54
1780,388,186
1781,388,229
2063,389,186
2105,390,186
2104,390,112
2347,391,50
2434,392,95
2540,393,112
2834,394,107
2836,395,214
2835,395,174
59,396,130
781,397,112
784,398,169
1008,399,48
1196,400,161
1195,400,151
1197,400,228
1309,401,172
1310,401,179
1307,401,160
1308,401,161
1311,401,228
1305,401,54
1306,401,56
1830,402,148
2313,403,118
2314,403,258
2312,403,71
3057,404,24
3290,405,102
3288,405,2
3292,405,190
3289,405,54
3291,405,160
3328,406,210
3517,407,116
3606,408,203
332,409,98
333,409,215
1339,410,22
1519,411,304
1518,411,186
1521,412,68
1524,413,102
1525,413,117
1580,414,166
1632,415,157
2194,416,303
2355,417,61
2356,417,174
2525,418,174
2526,418,175
2527,419,24
2622,420,117
3570,421,97
374,422,133
457,423,131
568,424,134
616,425,141
617,425,172
802,426,131
1377,427,291
1413,428,50
1415,429,174
1637,430,141
1636,430,92
2731,431,321
3041,432,125
3299,433,364
3466,434,49
12,435,10
10,435,4
11,435,9
13,435,37
14,435,58
157,436,201
211,437,63
574,438,262
577,439,162
710,440,24
791,441,295
789,442,197
805,443,189
1391,444,114
1528,445,135
1661,446,174
1663,446,247
1662,446,222
2278,447,76
2564,448,184
2757,449,178
2782,450,303
2779,450,54
2781,450,186
2780,450,156
2785,451,246
2786,451,303
2787,452,141
2788,453,141
103,454,269
104,455,96
492,456,69
521,457,276
552,458,138
643,459,49
644,459,300
799,460,50
800,461,131
1053,462,156
1671,463,46
1802,464,262
2746,465,17
2856,466,61
2857,466,98
2858,466,175
3012,467,98
295,468,133
296,469,222
735,470,58
731,470,9
730,470,4
732,470,10
733,470,34
734,470,37
769,471,20
1073,472,174
1176,473,23
1272,474,63
1669,475,95
1769,476,102
1771,476,172
1770,476,156
1768,476,54
2160,477,160
2163,477,240
2161,477,161
2162,477,227
2679,478,80
2916,479,98
3072,480,22
3074,481,304
3073,481,243
3162,482,186
3746,483,6
3747,483,40
237,484,184
238,484,264
441,485,110
1026,486,282
1156,487,98
1157,487,135
1158,487,184
1160,488,283
1159,488,75
1249,489,124
1250,489,228
1253,490,172
1255,490,228
1252,490,2
1254,490,179
1667,491,49
2076,492,51
2078,492,305
2077,492,108
2642,493,49
2804,494,251
3051,495,208
3053,496,85
3054,497,85
3566,498,72
3670,499,222
299,500,190
303,501,273
666,502,37
677,503,181
678,503,216
1088,504,99
1090,504,304
1087,504,68
1089,504,228
1094,505,99
1093,505,68
1447,506,291
1565,507,77
1683,508,229
1682,508,100
1877,509,273
2098,510,7
2507,511,77
2508,512,133
2656,513,48
2657,513,184
2705,514,211
2717,515,211
2912,516,363
2913,517,186
2914,517,251
2915,517,390
3336,518,98
3335,518,87
3334,518,61
3332,518,24
3338,518,188
3333,518,52
3337,518,174
3601,519,175
58,520,200
150,521,56
149,521,54
151,521,67
148,521,53
741,522,203
742,523,148
753,524,231
768,525,235
1002,526,273
1577,527,72
1578,527,276
1618,528,214
1893,529,135
1895,530,98
2025,531,186
2026,531,212
2027,531,304
2237,532,66
2562,533,189
2926,534,131
2930,535,133
3002,536,137
3720,537,265
3752,538,166
3754,539,144
3764,540,314
3763,540,310
621,541,259
620,541,156
650,542,78
748,543,300
750,544,323
749,544,49
915,545,184
1034,546,289
1035,546,320
1036,546,321
1175,547,96
1178,548,228
1177,548,172
1207,549,146
1767,550,133
2388,551,187
2502,552,43
2688,553,175
2687,553,49
2725,554,61
2724,554,52
2730,555,347
2729,555,314
2726,555,98
2728,555,313
2727,555,310
2846,556,291
2944,557,102
2946,558,191
2948,558,248
2947,558,229
2945,558,161
2949,559,102
2950,559,275
3014,560,103
3013,560,49
3446,561,216
3444,561,41
3445,561,157
3447,561,219
3443,561,40
3452,562,286
3706,563,75
3712,564,314
95,565,180
356,566,33
355,566,13
575,567,98
848,568,318
973,569,50
974,569,98
972,569,48
975,569,214
1032,570,194
1507,571,91
1740,572,50
1838,573,67
1837,573,51
1840,573,141
1839,573,99
1947,574,67
1949,574,102
1950,574,151
1948,574,68
1951,575,171
1952,576,171
1981,577,200
2118,578,7
2120,578,18
2119,578,13
2121,578,57
2659,579,264
2658,579,184
2847,580,96
2850,581,2
3588,582,98
3669,583,265
74,584,174
161,585,102
163,585,359
162,585,160
165,585,453
164,585,390
554,586,317
